Yorum,Puan,Tarih,Yıl,Ay
Rezillik kullanmayın kullandırmayın.,1,2024-12-31 22:49:00,2024,12
Yaw bu nasıl uygulama para yatırmadan önce her hangi bir işlem istenmiyor. Kendi paramı transfer yada kullanmaya kalkınca. Kimlik doğrulaması isteniyor telefonda nfc ozelligi bile yok bunlami ugrasacagiz,2,2024-12-31 18:42:21,2024,12
Paketlere tarifelere zam yapmasını biliyorsunuz ama paycellde qr kod ile ödeme bile yapılamıyor!!!,1,2024-12-31 13:20:58,2024,12
Benim telefon eski model değil vivo y21 modeli ama ben kimliğime doğrulamaya geçtiğim vakit NFC uygulamasını istiyor o uygulamada telefon modelinde yok ondan dolayı da Ben geri kaldırmak zorunda kaldım yoksa benim hoşuma gitmişti ama lakin NFC uygulamasını isteyince Ben de mecburen kaldırmak zorunda kaldım bu uygulamada NFC uygulaması istemese gayet iyi olurdu,1,2024-12-31 13:05:37,2024,12
Çok iyi bir uygulama,5,2024-12-31 11:15:34,2024,12
MESAJ GELİYOR VELİ MESAJ GELİYOR GELMESİN BEN 41 YASİNDAYİM,1,2024-12-31 08:08:11,2024,12
Son zamanlarda bütün kampanyalardan beni mahrum bırakan uygulama market ve trendyol kampanyaları bende neden yok neden kişiye göre muamele çekiliyor hemen düzeltin o kampanyalar olmazsa sizi neden kullanayım,2,2024-12-31 02:16:25,2024,12
PAYCELL kampanyalarim kısmında kazandığınız puanları harcayamiyorsunuz o yuzden bosyere kampanya kısmındaki teklifleri yapmaya uğraşmayın.,2,2024-12-31 00:14:47,2024,12
Tavsiye ederim,5,2024-12-30 23:36:46,2024,12
ya lütfen hediye alma kısmını sınırlamayı artırın ayda sadece 1 hediye olabiliyoruz aynı hediyeden lütfen artın puanlarimiz bosuna gidiyor hiçbir şey alamdan puanlar siliniyor,1,2024-12-30 18:57:10,2024,12
rezil bi uygula beni borca soktu qllah billdi yapsin sizler i,1,2024-12-30 15:40:32,2024,12
Harika,5,2024-12-30 15:18:02,2024,12
Giriş yapamiyorum,1,2024-12-30 14:59:28,2024,12
Mrblar paycell yetkilileri uygulama güzel açılışta çok ağır açılıyor ve parmak izi olursa çok iyi olur bide peşin iadeler çok geç yatırılıyor iadeler anında yatirilirsa çok güzel olur,1,2024-12-30 09:28:03,2024,12
Almayalım diye kimlik onayını engellemek için kameranın çalışmasını uygulamanın içinde QR para gönderirken açılan kamera colendi makul kıymet bölümüne girince açılan kamera açılmıyor bu politika mı,1,2024-12-30 00:46:48,2024,12
Yukarda çıksın diye yazıyorum şifremizi unutunca Şifremi unuttum basıyorum doğrula kodunuda giriyorum olmuyor arama merkezine diyor arayın arıyoruz çıkmıyor,5,2024-12-29 23:05:00,2024,12
İnternetim hala gelmedi hediyem puanla aldığım,5,2024-12-29 21:06:26,2024,12
Paycell uygulamasına giriş yapamıyorum lütfen bu sorunu bir an önce düzeltin SMS kodu gelmiyor telefonuma,2,2024-12-29 20:48:57,2024,12
Berbat ötesi,5,2024-12-29 19:25:09,2024,12
5 par aetmez bir uygulama birsürü kesinti yapmasi harici paycelltikoya attığımız parayı kullanamıyor ve geri çekemiyoruz.geri çekmek için mail gonderdim 1 hafta sonra para vergi kesilmiş halde geri geldi.kalan parayi kendi kartima cekmek istediğimdede bi vergi kesti tamamen para tuzagi,1,2024-12-29 15:18:46,2024,12
Saçma sapan insanı çıldırtan bir uygulama. Sistem kendi kendine kurulmuş.,1,2024-12-29 14:52:17,2024,12
Bana mesaj geldi kredi hakkınız var diye bnde linke girdim bana kod gönderdiler onayladım bnde sanıyorum kredi ödemeli meğerse kredi kartımdan aktarma yapmış parayida y ç . Diye bir arkadaş kendi hesabına aktarmış hiç bir şekilde muhatap bulamadım uygulamayada giremiyorum harcama iptali verdim bankaya hiç bir şey çıkmadı gitti param,3,2024-12-29 08:10:13,2024,12
Falan da filan da yani,1,2024-12-29 01:38:52,2024,12
HİÇ İYİ DEĞİL YÜKLEMEYİN MESELA BENİM 5000 PUANIM VARDI KENDİLİĞİNDEN GİDİYOR SALLA TOPLA YAPIYORUM HER HAFTA 100 PUAN ÇIKIYOR İNTERNETTE 25000 puan HER HAFTA 100 PUANLA 25000 OLURMU,1,2024-12-28 14:37:18,2024,12
İşlem ücreti adı altında mukellemmel bir para kazanma şekli bulmuş adamlar. Sanal yapılan işlemlerde nasıl oluyorsa masraf kesiyorlar anlamadım. Nakit çekim yok. Boş kisacasi,1,2024-12-28 10:27:33,2024,12
cok iyi,5,2024-12-28 09:51:08,2024,12
Kampanyaya katıl demeden otomatik olması lazım PAPARA DAHA İYİ Paycell kullanmayın.,1,2024-12-28 04:22:02,2024,12
1 tane oyun satın almıştım oda gelmedi hemen beni faturana yansit adı altında üye yapmışlar tam bir soygun aklı olan uzak dursun,1,2024-12-27 20:36:15,2024,12
Sırf yorum yazmak için yükledim. Bu g.rize.kali programın reklamına bangır bangır müzik koymuşsunuz ve olur olmadık yerde reklamınız çıkıyor sizin yüzünüzden kaç kez bebeğim uyandı. Zaten gereksiz bı program olduğunu herkes yazmış müziğide gereksiz. Allah'ın c.zaları,1,2024-12-27 18:25:35,2024,12
Çok iyi ama limit çok düşük en az 2k olmalı bence,5,2024-12-27 16:19:42,2024,12
Kullanmayın tavsiye etmem muşteri hizmetleri vasat,1,2024-12-27 07:41:34,2024,12
Süper,5,2024-12-27 01:45:14,2024,12
Üyeliğimi iptal ettirdim kurtulduk berbat parayı alıyor hesaba 1 hafta sonra yansıtıyor herseferinde dolandırıcı olmussunuz,1,2024-12-26 19:45:46,2024,12
GÜZEL VE KULLANIŞLI,5,2024-12-26 14:00:50,2024,12
Uyguluma cok kötü yıllardır türkcell kullanıyorum bi halta yaradıgı yok paycelle indiriyorum telefon numarası giriyorum güvenlik deniyle oturumusunuz sonlandırma yazıyo müsteri hizmetleri arıyorum ilgilenmiyolar lütfen yardımcı olun lütfen😴,1,2024-12-25 23:55:28,2024,12
QR ile ödemeye %20 nakit iade diyorlardı. Nakit iadesini bırakın. QR ile ödedim diye üstüne işlem ücreti kesti. Ödeme yaptım diye işlem ücreti kesti. Böyle bir şey olabilir mi lan?,1,2024-12-25 18:54:45,2024,12
"1 saattir belirli aralıklarla kayıt yapmaya çalışıyorum ama son aşamaya gelince üzgünüz şuanda işlem yapılamıyor gibi bir uyarı geliyor. Şifremi unuttum giriş yapamıyorum bana kurtarma kodu ile girmekten başka seçenek sunmuyor, ben zaten şifremi unutmuşum kurtarma kodunu nasıl hatırlayım??",1,2024-12-25 18:28:23,2024,12
10 numara uygulama allah emegi gecen herkesin elleri dert gormesin aslan yegenlerim,5,2024-12-25 13:36:16,2024,12
Mükemmel,5,2024-12-25 11:01:19,2024,12
Bu uygulamanın ap,5,2024-12-25 02:03:45,2024,12
paycell uygulaması harika cok güzel beğendim kredi puanımı görüyorum,5,2024-12-24 20:21:40,2024,12
