Yorum,Puan,Tarih,Yıl,Ay
Fatura çok geliyor hiç qulana aolmadım,1,2024-06-30 23:14:26,2024,6
Turkcell in en sacma uygulama si,1,2024-06-30 22:55:33,2024,6
Devamlı çöküyor,1,2024-06-30 20:42:56,2024,6
Sakin kullanmayın para transferleri geçmiyormiyor 3 saat içinde geçermiş açıklama boş olursa 3 günde iade olurmuş,1,2024-06-30 19:22:22,2024,6
Çok güzel bir uygulama Özellikle de internet kampanyaları ama bence bir sorunu var Birine puan gönderdiğimizde 2 defa tek yani 1000 puan tek gönderebiliyoruz Bence bunu düzeltmeliler istediğimiz kadar puan göndermeliyiz Ayrıca en fazla her bir internet kampanyasından 3 tane alabiliyoruz Bence bunu da sınırsız yapmalılar istediğimiz kadar almalıyız Bence uygulamanın kusurları bu onun için 2 puan kırdım,3,2024-06-30 17:24:47,2024,6
İyi,5,2024-06-30 00:24:08,2024,6
paracell iş başında,1,2024-06-29 23:59:06,2024,6
SMS gelmiyor,1,2024-06-29 04:11:41,2024,6
yükleme sorunu olan kart almayın ise yaramaz,1,2024-06-28 02:23:44,2024,6
Kartımı neden kapattiniz 6000 TL vardı içinde ne hakkınız var kapatmaya amk? Lanet bir uygulama onermiyorum,1,2024-06-27 22:38:30,2024,6
Puan gönderemiyorum kimseye sürekli sorun çıkıp duruyor bunun sorununu öğrene bilirmiyim açaba öyle devam ederse sılıcem uygulamayı.,1,2024-06-27 22:26:53,2024,6
Gerçekten Hızır gibi yetisen uygulama,5,2024-06-27 22:06:12,2024,6
Puan paylaşamıyorum ve arkadaş davet edemiyorum yakışmadı turkcell,1,2024-06-27 22:05:17,2024,6
Arkadaşımı davet edemiyorum lütfen yardımcı olur musunuz,1,2024-06-27 18:06:36,2024,6
🤑💸💵💴💶💰💳,5,2024-06-27 14:53:56,2024,6
Hesabım silindi ve o hesapta Bilmediğim bir uygulamadan paycell faturalandırması ile ödenmiş... sürekli mesaj geliyor para olmadığı için. aboneliği nasıl iptal edebilirim? hemen yardım etmenizi istiyorum paycell ekibi.,1,2024-06-27 14:04:54,2024,6
Güzel kulanışlı tavsiye edilir,5,2024-06-27 13:46:59,2024,6
Yaş sınırı olmayan tek kart efsane,5,2024-06-26 18:05:09,2024,6
Beleş internet kazandığım için,4,2024-06-26 15:54:03,2024,6
ukh,5,2024-06-26 15:46:14,2024,6
Abi niye kazan kazan da işlem limiti var,1,2024-06-26 12:44:00,2024,6
🥰,5,2024-06-25 23:21:37,2024,6
kesinlikle kullanmayın simkart değişikliği sebebiyle giriş yapamıyorum müşteri hizmetleri baglanmama rağmen şifre bir için yönlendirme yapıyor tekrar başa dönüp duruyor lanet bir uygulama,1,2024-06-25 18:15:12,2024,6
KULLANMAYIN,1,2024-06-25 17:42:33,2024,6
Türk telekomlulara Oluyormu arkadaşlar knk,5,2024-06-25 13:18:55,2024,6
